Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"Log.java",1,1,1,1,9,0,3,6,,,,,1,18,8,18,,18,0,0,18,,0,0,0,18,,236,21,67,28,26,148,,,,27,47,28,19,,,,,,2,2,2,1,,,1,,,,2,21,19,19,19,18
File,"LogFragment.java",1,1,1,1,8,1,6,0,,,,,2,0,0,7,,7,7,2,7,,0,0,0,7,,109,16,58,27,33,35,,,,37,45,27,18,,,,,,1,1,1,1,,,0,,,,0,60,7,7,7,7
File,"LogNode.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,1,1,0,1,,0,0,0,1,,39,3,4,3,0,32,,,,2,3,3,0,,,,,,0,0,0,0,,,0,,,,8,00,0,0,0,0
File,"LogView.java",2,1,2,1,11,1,7,2,,,,,2,0,0,9,,9,9,1,9,,0,1,0,8,,145,22,80,20,49,43,,,,40,55,20,35,,,,,,9,4,9,1,,,2,,,,0,54,19,14,19,9
File,"LogWrapper.java",2,2,2,1,14,1,6,7,,,,,1,0,0,3,,3,3,1,3,,0,0,0,3,,75,9,25,9,10,41,,,,10,17,8,9,,,,,,4,4,4,1,,,1,,,,1,64,6,6,6,3
File,"MainActivity.java",1,1,1,1,11,1,9,1,,,,,1,0,1,5,,5,5,1,5,,0,0,1,4,,110,17,65,32,33,28,,,,39,48,26,22,,,,,,3,3,3,1,,,2,,,,0,43,9,9,9,5
File,"MessageOnlyLogFilter.java",1,1,1,1,5,0,3,2,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,60,8,21,9,5,31,,,,6,13,8,5,,,,,,2,2,2,1,,,1,,,,1,48,6,6,6,5
File,"RevealEffectBasicFragment.java",1,1,1,1,12,1,9,1,,,,,2,0,1,4,,4,4,0,4,,0,0,0,4,,75,9,44,24,20,22,,,,23,28,20,8,,,,,,1,1,1,1,,,0,,,,0,50,4,4,4,4
File,"SampleActivityBase.java",1,1,1,1,5,0,4,1,,,,,1,0,1,3,,3,3,0,3,,0,0,2,1,,52,9,22,13,7,21,,,,12,16,11,5,,,,,,1,1,1,1,,,0,,,,0,95,3,3,3,3
File,"SampleTests.java",1,1,1,1,8,0,4,3,,,,,1,0,0,3,,3,3,2,3,,0,0,1,2,,57,8,22,10,8,27,,,,12,16,9,7,,,,,,1,1,1,1,,,0,,,,1,23,3,3,3,3
Package,"com",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.android",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.android.common",0,0,0,0,0,0,0,0,,,,,0,0,0,,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0,00,0,0,0,0
Package,"com.example.android.common.activities",1,1,1,1,5,0,4,1,,,,,1,0,1,,1,,3,0,3,,0,0,2,1,,52,9,22,13,7,21,,,,12,16,11,5,,,,,,1,1,1,1,,,0,,,,0,95,3,3,3,3
Public Class,"com.example.android.common.activities.SampleActivityBase",1,1,1,1,5,0,4,1,1,2,2,1,,0,1,,,,3,0,3,3,0,0,2,1,,28,5,17,8,7,6,,,,7,11,6,5,,,,,,1,1,1,1,,2,0,,0,0,0,35,3,3,3,3
Public Method,"com.example.android.common.activities.SampleActivityBase.initializeLogging",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,1,5,2,3,3,2,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,0,60,1,1,1,1
Protected Method,"com.example.android.common.activities.SampleActivityBase.onCreate",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Protected Method,"com.example.android.common.activities.SampleActivityBase.onStart",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"com.example.android.common.logger",1,1,1,1,9,0,4,4,,,,,8,18,8,,6,,25,5,43,,0,1,0,42,,664,79,255,96,123,330,,,,122,180,94,86,,,,,,9,4,9,1,,,2,,,,1,29,57,52,57,42
Public Class,"com.example.android.common.logger.Log",1,1,1,1,9,0,3,6,1,1,1,0,,18,8,,,,0,0,18,18,0,0,0,18,,219,20,66,27,26,133,,,,26,46,27,19,,,,,,2,2,2,1,,1,1,,83,0,2,02,19,19,19,18
Public Static Method,"com.example.android.common.logger.Log.d",,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,67,1,1,1,1
Public Static Method,"com.example.android.common.logger.Log.d",,,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Public Static Method,"com.example.android.common.logger.Log.e",,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,67,1,1,1,1
Public Static Method,"com.example.android.common.logger.Log.e",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Public Static Method,"com.example.android.common.logger.Log.getLogNode",,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,3,1,1,3,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Static Method,"com.example.android.common.logger.Log.i",,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,67,1,1,1,1
Public Static Method,"com.example.android.common.logger.Log.i",,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,00,1,1,1,1
Public Static Method,"com.example.android.common.logger.Log.println",,,,,,,,,,,,,,,,,,,,,,,,,,,12,15,0,5,1,2,10,1,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,2,00,2,2,2,1
